date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:05:50	53406/53406	---MCZ	200	added ('OK')	text/html	etag:W/%22d09e-552d6d6bdab50%22	http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html	D:/Wedding%20Web/glanz.starkethemes.com/html/01_02_home_pink_flowers.html	(from )
13:05:52	67/67	---M--	200	added ('OK')	text/plain	date:Sat,%2019%20Nov%202022%2007:35:57%20GMT	http://glanz.starkethemes.com/robots.txt		(from )
13:05:52	4286/4286	---M--	200	added ('OK')	image/x-icon	etag:%2210be-550f91b107453%22	http://glanz.starkethemes.com/html/images/favicon.ico	D:/Wedding%20Web/glanz.starkethemes.com/html/images/favicon.ico	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:05:53	185555/185555	---MCZ	200	added ('OK')	text/css	etag:W/%22593155df-2d4d3%22	http://glanz.starkethemes.com/html/css/glanz_library.css	D:/Wedding%20Web/glanz.starkethemes.com/html/css/glanz_library.css	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:05:53	16435/16435	---MCZ	200	added ('OK')	text/css	etag:W/%2259315610-4033%22	http://glanz.starkethemes.com/html/fonts/themify-icons.css	D:/Wedding%20Web/glanz.starkethemes.com/html/fonts/themify-icons.css	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:05:54	123438/123438	---MCZ	200	added ('OK')	text/css	etag:W/%225950d421-1e22e%22	http://glanz.starkethemes.com/html/css/glanz_style.css	D:/Wedding%20Web/glanz.starkethemes.com/html/css/glanz_style.css	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:05:54	626/626	---M--	200	added ('OK')	text/css	etag:%225931560f-272%22	http://glanz.starkethemes.com/html/fonts/marsha/stylesheet.css	D:/Wedding%20Web/glanz.starkethemes.com/html/fonts/marsha/stylesheet.css	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:05:55	16640/16640	---M--	200	added ('OK')	image/png	etag:%2259315757-4100%22	http://glanz.starkethemes.com/html/images/glanz_logo.png	D:/Wedding%20Web/glanz.starkethemes.com/html/images/glanz_logo.png	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:05:55	45772/45772	---MCZ	200	added ('OK')	text/html	etag:W/%22b2cc-552d6d6ac55d0%22	http://glanz.starkethemes.com/html/01_01_home_simple_flowers.html	D:/Wedding%20Web/glanz.starkethemes.com/html/01_01_home_simple_flowers.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:05:56	27462/27462	---MCZ	200	added ('OK')	text/html	etag:W/%226b46-552d6d6dd0a90%22	http://glanz.starkethemes.com/html/01_04_home_flbg.html	D:/Wedding%20Web/glanz.starkethemes.com/html/01_04_home_flbg.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:05:56	41948/41948	---MCZ	200	added ('OK')	text/html	etag:W/%22a3dc-552d6d6eb6270%22	http://glanz.starkethemes.com/html/01_05_home_flbg.html	D:/Wedding%20Web/glanz.starkethemes.com/html/01_05_home_flbg.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:05:56	27276/27276	---MCZ	200	added ('OK')	text/html	etag:W/%226a8c-552d6d6faa4b0%22	http://glanz.starkethemes.com/html/01_06_home_flbg.html	D:/Wedding%20Web/glanz.starkethemes.com/html/01_06_home_flbg.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:05:57	30214/30214	---MCZ	200	added ('OK')	text/html	etag:W/%227606-552d6d73a6cd0%22	http://glanz.starkethemes.com/html/01_10_home_parallax.html	D:/Wedding%20Web/glanz.starkethemes.com/html/01_10_home_parallax.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:05:57	38576/38576	---MCZ	200	added ('OK')	text/html	etag:W/%2296b0-552d6d72c3430%22	http://glanz.starkethemes.com/html/01_09_home_land.html	D:/Wedding%20Web/glanz.starkethemes.com/html/01_09_home_land.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:05:57	42383/42383	---MCZ	200	added ('OK')	text/html	etag:W/%22a58f-552d6d7093b10%22	http://glanz.starkethemes.com/html/01_07_wedding_planner.html	D:/Wedding%20Web/glanz.starkethemes.com/html/01_07_wedding_planner.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:05:57	45860/45860	---MCZ	200	added ('OK')	text/html	etag:W/%22b324-552d6d71debf0%22	http://glanz.starkethemes.com/html/01_08_wedding_flowers.html	D:/Wedding%20Web/glanz.starkethemes.com/html/01_08_wedding_flowers.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:05:58	36342/36342	---MCZ	200	added ('OK')	text/html	etag:W/%228df6-552d6d74b4550%22	http://glanz.starkethemes.com/html/01_11_wedding_cakes.html	D:/Wedding%20Web/glanz.starkethemes.com/html/01_11_wedding_cakes.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:05:58	22933/22933	---MCZ	200	added ('OK')	text/html	etag:W/%225995-552d6d75789f1%22	http://glanz.starkethemes.com/html/02_01_invitation.html	D:/Wedding%20Web/glanz.starkethemes.com/html/02_01_invitation.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:05:58	22851/22851	---MCZ	200	added ('OK')	text/html	etag:W/%225943-552d6d76cc771%22	http://glanz.starkethemes.com/html/02_02_invitation.html	D:/Wedding%20Web/glanz.starkethemes.com/html/02_02_invitation.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:05:58	22868/22868	---MCZ	200	added ('OK')	text/html	etag:W/%225954-552d6d778cd91%22	http://glanz.starkethemes.com/html/02_03_invitation.html	D:/Wedding%20Web/glanz.starkethemes.com/html/02_03_invitation.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:05:59	22970/22970	---MCZ	200	added ('OK')	text/html	etag:W/%2259ba-552d6d78b0d71%22	http://glanz.starkethemes.com/html/02_04_invitation.html	D:/Wedding%20Web/glanz.starkethemes.com/html/02_04_invitation.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:05:59	42673/42673	---MCZ	200	added ('OK')	text/html	etag:W/%22a6b1-552d981d433b2%22	http://glanz.starkethemes.com/html/03_01_blog_sidebar.html	D:/Wedding%20Web/glanz.starkethemes.com/html/03_01_blog_sidebar.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:05:59	39556/39556	---MCZ	200	added ('OK')	text/html	etag:W/%229a84-552d6d7add7b1%22	http://glanz.starkethemes.com/html/03_02_blog_1col.html	D:/Wedding%20Web/glanz.starkethemes.com/html/03_02_blog_1col.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:05:59	37886/37886	---MCZ	200	added ('OK')	text/html	etag:W/%2293fe-552d981df0152%22	http://glanz.starkethemes.com/html/03_03_blog_single_sidebar.html	D:/Wedding%20Web/glanz.starkethemes.com/html/03_03_blog_single_sidebar.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:00	34773/34773	---MCZ	200	added ('OK')	text/html	etag:W/%2287d5-552d6d7cf59d1%22	http://glanz.starkethemes.com/html/03_04_blog_single_col1.html	D:/Wedding%20Web/glanz.starkethemes.com/html/03_04_blog_single_col1.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:00	33333/33333	---MCZ	200	added ('OK')	text/html	etag:W/%228235-552d981ea1d12%22	http://glanz.starkethemes.com/html/04_01_shop_category_col1.html	D:/Wedding%20Web/glanz.starkethemes.com/html/04_01_shop_category_col1.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:00	40656/40656	---MCZ	200	added ('OK')	text/html	etag:W/%229ed0-552d6d7f49511%22	http://glanz.starkethemes.com/html/04_02_shop_category_sidebar.html	D:/Wedding%20Web/glanz.starkethemes.com/html/04_02_shop_category_sidebar.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:01	36057/36057	---MCZ	200	added ('OK')	text/html	etag:W/%228cd9-552d6d811a291%22	http://glanz.starkethemes.com/html/04_03_shop_single_sidebar.html	D:/Wedding%20Web/glanz.starkethemes.com/html/04_03_shop_single_sidebar.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:01	40123/40123	---MCZ	200	added ('OK')	text/html	etag:W/%229cbb-552d6d82401b1%22	http://glanz.starkethemes.com/html/04_04_shop_cart.html	D:/Wedding%20Web/glanz.starkethemes.com/html/04_04_shop_cart.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:01	39901/39901	---MCZ	200	added ('OK')	text/html	etag:W/%229bdd-552d6d83806b1%22	http://glanz.starkethemes.com/html/04_05_shop_checkout.html	D:/Wedding%20Web/glanz.starkethemes.com/html/04_05_shop_checkout.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
